DATUM,STATIONS_ID,QN_4,TT_TER,RF_TER,VGSL,TS05,BF10
1991-01-01 07:00:00,1766,10,3.0,91.0,0.3,2.9,102
1991-01-01 14:00:00,1766,10,4.8,85.0,0.3,2.9,102
1991-01-01 21:00:00,1766,10,3.9,82.0,0.3,2.9,102
1991-01-02 07:00:00,1766,10,5.6,94.0,1.4,6.3,110
1991-01-02 14:00:00,1766,10,11.0,87.0,1.4,6.3,110
1991-01-02 21:00:00,1766,10,11.0,91.0,1.4,6.3,110
1991-01-03 07:00:00,1766,10,7.2,87.0,1.0,6.6,110
1991-01-03 14:00:00,1766,10,9.4,69.0,1.0,6.6,110
1991-01-03 21:00:00,1766,10,6.6,91.0,1.0,6.6,110
1991-01-04 07:00:00,1766,10,6.7,79.0,1.2,5.5,106
1991-01-04 14:00:00,1766,10,7.2,73.0,1.2,5.5,106
1991-01-04 21:00:00,1766,10,5.4,78.0,1.2,5.5,106
1991-01-05 07:00:00,1766,10,3.9,80.0,1.0,3.7,109
1991-01-05 14:00:00,1766,10,6.5,70.0,1.0,3.7,109
1991-01-05 21:00:00,1766,10,6.0,84.0,1.0,3.7,109
1991-01-06 07:00:00,1766,10,5.8,62.0,1.1,3.4,103
1991-01-06 14:00:00,1766,10,6.4,64.0,1.1,3.4,103
1991-01-06 21:00:00,1766,10,5.9,77.0,1.1,3.4,103
1991-01-07 07:00:00,1766,10,5.3,84.0,0.8,3.9,103
1991-01-07 14:00:00,1766,10,8.4,74.0,0.8,3.9,103
1991-01-07 21:00:00,1766,10,4.8,76.0,0.8,3.9,103
1991-01-08 07:00:00,1766,10,4.0,92.0,1.0,4.5,110
1991-01-08 14:00:00,1766,10,6.5,81.0,1.0,4.5,110
1991-01-08 21:00:00,1766,10,9.3,65.0,1.0,4.5,110
1991-01-09 07:00:00,1766,10,6.7,70.0,1.8,5.9,107
1991-01-09 14:00:00,1766,10,7.3,78.0,1.8,5.9,107
1991-01-09 21:00:00,1766,10,9.2,71.0,1.8,5.9,107
1991-01-10 07:00:00,1766,10,11.8,84.0,2.4,7.1,108
1991-01-10 14:00:00,1766,10,11.2,53.0,2.4,7.1,108
1991-01-10 21:00:00,1766,10,7.8,60.0,2.4,7.1,108
1991-01-11 07:00:00,1766,10,8.0,80.0,0.6,5.5,103
1991-01-11 14:00:00,1766,10,8.6,80.0,0.6,5.5,103
1991-01-11 21:00:00,1766,10,7.4,75.0,0.6,5.5,103
1991-01-12 07:00:00,1766,10,3.5,89.0,0.3,3.3,103
1991-01-12 14:00:00,1766,10,4.8,88.0,0.3,3.3,103
1991-01-12 21:00:00,1766,10,2.5,95.0,0.3,3.3,103
1991-01-13 07:00:00,1766,10,-0.7,96.0,0.3,2.1,102
1991-01-13 14:00:00,1766,10,4.6,75.0,0.3,2.1,102
1991-01-13 21:00:00,1766,10,-0.7,96.0,0.3,2.1,102
1991-01-14 07:00:00,1766,10,-0.5,89.0,0.4,0.5,101
1991-01-14 14:00:00,1766,10,1.9,67.0,0.4,0.5,101
1991-01-14 21:00:00,1766,10,-1.4,60.0,0.4,0.5,101
1991-01-15 07:00:00,1766,10,-3.8,59.0,0.8,-0.7,99
1991-01-15 14:00:00,1766,10,2.3,33.0,0.8,-0.7,99
1991-01-15 21:00:00,1766,10,-1.0,51.0,0.8,-0.7,99
1991-01-16 07:00:00,1766,10,-3.2,71.0,0.4,-0.5,98
1991-01-16 14:00:00,1766,10,1.6,46.0,0.4,-0.5,98
1991-01-16 21:00:00,1766,10,-1.2,61.0,0.4,-0.5,98
1991-01-17 07:00:00,1766,10,-2.8,60.0,0.5,-1.1,97
1991-01-17 14:00:00,1766,10,3.4,45.0,0.5,-1.1,97
1991-01-17 21:00:00,1766,10,-0.7,67.0,0.5,-1.1,97
1991-01-18 07:00:00,1766,10,-4.0,84.0,0.4,-1.6,96
1991-01-18 14:00:00,1766,10,3.4,59.0,0.4,-1.6,96
1991-01-18 21:00:00,1766,10,-1.4,49.0,0.4,-1.6,96
1991-01-19 07:00:00,1766,10,-2.0,71.0,0.1,-1.5,102
1991-01-19 14:00:00,1766,10,0.5,96.0,0.1,-1.5,102
1991-01-19 21:00:00,1766,10,1.6,97.0,0.1,-1.5,102
1991-01-20 07:00:00,1766,10,0.0,98.0,0.4,0.0,103
1991-01-20 14:00:00,1766,10,2.5,84.0,0.4,0.0,103
1991-01-20 21:00:00,1766,10,3.2,83.0,0.4,0.0,103
1991-01-21 07:00:00,1766,10,4.1,98.0,0.3,0.2,105
1991-01-21 14:00:00,1766,10,5.2,90.0,0.3,0.2,105
1991-01-21 21:00:00,1766,10,2.9,94.0,0.3,0.2,105
1991-01-22 07:00:00,1766,10,2.9,98.0,0.2,0.3,104
1991-01-22 14:00:00,1766,10,4.7,81.0,0.2,0.3,104
1991-01-22 21:00:00,1766,10,-1.7,98.0,0.2,0.3,104
1991-01-23 07:00:00,1766,10,0.2,95.0,0.1,0.0,103
1991-01-23 14:00:00,1766,10,0.4,89.0,0.1,0.0,103
1991-01-23 21:00:00,1766,10,-0.6,94.0,0.1,0.0,103
1991-01-24 07:00:00,1766,10,-1.2,93.0,0.1,-0.1,103
1991-01-24 14:00:00,1766,10,1.3,78.0,0.1,-0.1,103
1991-01-24 21:00:00,1766,10,0.1,93.0,0.1,-0.1,103
1991-01-25 07:00:00,1766,10,0.3,95.0,0.0,-0.1,102
1991-01-25 14:00:00,1766,10,2.1,93.0,0.0,-0.1,102
1991-01-25 21:00:00,1766,10,1.7,93.0,0.0,-0.1,102
1991-01-26 07:00:00,1766,10,0.8,96.0,0.1,-0.1,102
1991-01-26 14:00:00,1766,10,2.1,90.0,0.1,-0.1,102
1991-01-26 21:00:00,1766,10,2.2,84.0,0.1,-0.1,102
1991-01-27 07:00:00,1766,10,0.8,93.0,0.2,0.0,101
1991-01-27 14:00:00,1766,10,4.5,79.0,0.2,0.0,101
1991-01-27 21:00:00,1766,10,2.8,90.0,0.2,0.0,101
1991-01-28 07:00:00,1766,10,2.7,82.0,0.2,0.0,100
1991-01-28 14:00:00,1766,10,3.1,77.0,0.2,0.0,100
1991-01-28 21:00:00,1766,10,-1.2,86.0,0.2,0.0,100
1991-01-29 07:00:00,1766,10,-4.3,96.0,0.0,-0.5,100
1991-01-29 14:00:00,1766,10,-1.9,98.0,0.0,-0.5,100
1991-01-29 21:00:00,1766,10,-1.4,97.0,0.0,-0.5,100
1991-01-30 07:00:00,1766,10,0.9,84.0,0.3,-0.4,99
1991-01-30 14:00:00,1766,10,1.9,64.0,0.3,-0.4,99
1991-01-30 21:00:00,1766,10,-0.4,71.0,0.3,-0.4,99
1991-01-31 07:00:00,1766,10,-2.9,73.0,0.5,-1.5,98
1991-01-31 14:00:00,1766,10,1.5,53.0,0.5,-1.5,98
1991-01-31 21:00:00,1766,10,-2.2,71.0,0.5,-1.5,98
1991-02-01 07:00:00,1766,10,-6.1,73.0,0.3,-2.5,97
1991-02-01 14:00:00,1766,10,1.3,36.0,0.3,-2.5,97
1991-02-01 21:00:00,1766,10,-2.6,55.0,0.3,-2.5,97
1991-02-02 07:00:00,1766,10,-7.9,72.0,0.1,-2.7,97
1991-02-02 14:00:00,1766,10,1.1,41.0,0.1,-2.7,97
1991-02-02 21:00:00,1766,10,-5.9,76.0,0.1,-2.7,97
1991-02-03 07:00:00,1766,10,-9.7,88.0,0.0,-3.4,97
1991-02-03 14:00:00,1766,10,-3.0,58.0,0.0,-3.4,97
1991-02-03 21:00:00,1766,10,-5.3,60.0,0.0,-3.4,97
1991-02-04 07:00:00,1766,10,-8.6,71.0,0.1,-2.9,97
1991-02-04 14:00:00,1766,10,-0.3,54.0,0.1,-2.9,97
1991-02-04 21:00:00,1766,10,-2.7,80.0,0.1,-2.9,97
1991-02-05 07:00:00,1766,10,-4.6,80.0,0.2,-1.4,96
1991-02-05 14:00:00,1766,10,0.1,70.0,0.2,-1.4,96
1991-02-05 21:00:00,1766,10,-3.2,67.0,0.2,-1.4,96
1991-02-06 07:00:00,1766,10,-12.3,72.0,0.0,-6.1,96
1991-02-06 14:00:00,1766,10,-10.7,66.0,0.0,-6.1,96
1991-02-06 21:00:00,1766,10,-11.9,76.0,0.0,-6.1,96
1991-02-07 07:00:00,1766,10,-8.8,78.0,0.0,-6.1,96
1991-02-07 14:00:00,1766,10,-5.4,70.0,0.0,-6.1,96
1991-02-07 21:00:00,1766,10,-7.1,72.0,0.0,-6.1,96
1991-02-08 07:00:00,1766,10,-7.0,79.0,0.0,-4.7,97
1991-02-08 14:00:00,1766,10,-5.0,84.0,0.0,-4.7,97
1991-02-08 21:00:00,1766,10,-6.9,79.0,0.0,-4.7,97
1991-02-09 07:00:00,1766,10,-7.6,85.0,0.0,-5.3,97
1991-02-09 14:00:00,1766,10,-2.7,72.0,0.0,-5.3,97
1991-02-09 21:00:00,1766,10,-8.6,95.0,0.0,-5.3,97
1991-02-10 07:00:00,1766,10,-10.3,96.0,0.0,-4.6,98
1991-02-10 14:00:00,1766,10,-1.8,61.0,0.0,-4.6,98
1991-02-10 21:00:00,1766,10,-3.8,90.0,0.0,-4.6,98
1991-02-11 07:00:00,1766,10,-4.3,92.0,0.0,-3.3,99
1991-02-11 14:00:00,1766,10,-2.5,88.0,0.0,-3.3,99
1991-02-11 21:00:00,1766,10,-3.6,90.0,0.0,-3.3,99
1991-02-12 07:00:00,1766,10,-5.3,97.0,0.0,-4.2,99
1991-02-12 14:00:00,1766,10,-2.3,92.0,0.0,-4.2,99
1991-02-12 21:00:00,1766,10,-7.0,96.0,0.0,-4.2,99
1991-02-13 07:00:00,1766,10,-4.6,96.0,0.0,-3.8,99
1991-02-13 14:00:00,1766,10,-1.6,89.0,0.0,-3.8,99
1991-02-13 21:00:00,1766,10,-5.2,91.0,0.0,-3.8,99
1991-02-14 07:00:00,1766,10,-6.2,96.0,0.0,-3.5,100
1991-02-14 14:00:00,1766,10,-1.8,83.0,0.0,-3.5,100
1991-02-14 21:00:00,1766,10,-2.2,90.0,0.0,-3.5,100
